time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-1.3113150317885e-19,-1.2874900798265e-19,1.0506764630594e-47,-2.3824951962007e-21,1.8744372589953e-58,1.0506764630781e-47,0.0015044795920719,-7.2268133378999e-40,0,0,41.38406196705,-1.6940658945086e-21,0.00047522149873308,1.9249792776635e-41,0.0036175397542554,0.00099036538151209,4.0147277351736e-41,1.8518122966021e-05
0.5,-4.2351647362715e-22,-3.3881317890172e-19,-3.6461582425505e-45,3.3838966242809e-19,1.6616955626108e-45,-1.9844626799396e-45,0.0078988739651165,-1.2303194328898e-35,0,0,101.08037162481,2.5749801596531e-19,0.0025463895245814,3.5005072634115e-37,0.0099119640865531,0.0046905754780344,7.2918488240273e-37,5.1632407149397e-05
0.75,-6.3527471044073e-19,-6.7762635780344e-19,-1.8346883311722e-43,4.2351647362715e-20,-4.2072008239542e-43,-6.0418891551264e-43,0.013632291588632,-4.7163383683006e-32,0,0,110.02021462146,2.7105054312138e-20,0.0051968638682451,1.43895033214e-33,0.015095870485855,0.0070808234714332,2.9931823228083e-33,8.0300601246898e-05
1,-2.6596834543785e-19,-7.8604657505199e-19,5.9278691030563e-41,5.2007822961414e-19,5.713345331208e-42,6.4992036361771e-41,0.018240965476875,-7.2023641336899e-29,0,0,93.849932634463,-2.4394548880924e-19,0.0078553074807191,2.3665864289935e-30,0.019980522681971,0.0093011041131844,4.9144288520059e-30,0.00010722169415969
1.25,-2.558039500708e-19,-5.1499603193061e-19,-1.2731413119715e-39,2.5919208185982e-19,2.3689076917651e-39,1.0957663797936e-39,0.023890335278148,-5.5164049207928e-26,0,0,98.619749992309,1.7618285302889e-19,0.010532617704704,1.9615597229243e-27,0.02567978603972,0.012290361739188,4.0650992124518e-27,0.00013737179097573
1.5,-1.3247595295057e-18,3.2526065174565e-19,-9.417730131002e-38,-1.6500201812514e-18,-8.997789035161e-38,-1.8415519166163e-37,0.029582819845452,-2.3974373068986e-23,0,0,104.45657555029,1.3552527156069e-19,0.01319937196286,9.2753196062936e-25,0.03110158553885,0.014999712921504,1.9175151660665e-24,0.00016621846090056
1.75,-3.5914196963582e-19,1.1926223897341e-18,9.7330932248085e-36,-1.5517643593699e-18,-1.5300150458595e-36,8.2030781789491e-36,0.034605288693137,-6.3760497715135e-21,0,0,98.290226596496,-2.168404344971e-19,0.015880926575722,2.7001893875205e-22,0.036184742899251,0.017395317779745,5.565731657947e-22,0.00019380031112447
2,-2.3378109344219e-19,1.1926223897341e-18,2.1064858766735e-33,-1.4264034831762e-18,1.1571114601108e-34,2.2221970226846e-33,0.039968642211198,-1.090620140437e-18,0,0,97.997396419195,-1.3552527156069e-19,0.018563509931066,5.0902183805552e-20,0.041629455466669,0.020127888895179,1.0454536709345e-19,0.00022296976793918
2.25,9.0463118766759e-19,-3.2526065174565e-19,3.6091927157817e-31,1.2298918394132e-18,1.2352948783415e-32,3.7327222036158e-31,0.045591447045094,-1.2414609070137e-16,0,0,102.1316317708,-2.7105054312138e-19,0.021249390395004,6.4353035910354e-18,0.047106809273383,0.022909059960028,1.3159188987726e-17,0.00025209190178873
